Rank,Jurisdiction,"CO2 emissions
per capita
(in metric tons)"
1,Wyoming,111.55
2,North Dakota,74.81
3,West Virginia,52.47
4,Alaska,47.17
5,Louisiana,44.5
6,Montana,31.51
7,Kentucky,31.19
8,Indiana,30.81
9,Nebraska,27.51
10,Oklahoma,26.92
11,Iowa,26.78
12,Texas,26.29
13,Alabama,25.05
14,New Mexico,24.07
15,Kansas,23.97
16,Arkansas,23.13
17,Utah,21.9
18,Missouri,21.66
19,Mississippi,21.28
20,Ohio,19.75
21,Pennsylvania,18.94
22,Illinois,18.12
23,South Dakota,17.91
24,Wisconsin,17.47
25,Minnesota,17.24
26,States Total,17.04
27,Colorado,16.95
28,Michigan,16.31
29,Tennessee,15.69
30,South Carolina,15.39
31,Delaware,14.24
32,Arizona,13.79
33,Georgia,13.76
34,Nevada,13.02
35,Hawaii,12.82
36,New Jersey,12.78
37,North Carolina,12.64
38,Maine,12.52
39,Virginia,12.42
40,Florida,11.41
41,New Hampshire,11.25
42,Washington,10.4
43,Maryland,10.38
44,Idaho,10.18
45,Rhode Island,10.08
46,Connecticut,9.77
47,Oregon,9.56
48,Massachusetts,9.49
49,Vermont,9.38
50,California,9.26
51,New York,8.61
52,District of Columbia,4.55
